CustomerID,DisplayName,ContactName,Email,Phone,Address,PaymentTermsDays,CreditLimit
CUST0001,"Mani, Sarna and Dash",Daksha Rau,xiti87@yahoo.in,+919065940139,"02/78, Mall Chowk, Bhimavaram 717565",44,200000
CUST0002,Cheema-Dyal,Nisha Tandon,nandini80@yahoo.in,+915451680876,"59/77, Jani Nagar, Jamalpur 477109",58,200000
CUST0003,Dutt LLC,Nikita Chander,ishaanshenoy@gmail.in,2748467737,"982, Majumdar Zila, Mau-044997",53,200000
CUST0004,Sekhon PLC,Hemani Natarajan,ushah@gmail.in,3963605766,"H.No. 289, Chaudhry Path, Salem-026217",55,200000
CUST0005,Nigam-Rao,Falguni Walla,onadig@hotmail.in,08091343161,"400, Bhalla Path, Secunderabad 623869",59,200000
CUST0006,"Gole, Garde and Gill",Lavanya Khosla,odhar@yahoo.in,4740748217,"64/743, Subramanian Marg, Patiala 959440",79,200000
CUST0007,"Randhawa, Maharaj and Anand",Watika Mangat,indirakanda@hotmail.in,+919421047095,"H.No. 56, Iyer Street, Panvel-884247",73,200000
CUST0008,Nigam-Contractor,Faqid Dhaliwal,mekhalapau@gmail.in,00481754965,"09, Narang Circle, Rajkot 461200",67,200000
CUST0009,Tailor-D’Alia,Wahab Yogi,lipikasetty@yahoo.in,8692617964,"773, Chaudhary Path, Tinsukia 064317",74,200000
CUST0010,Kala Ltd,Chandresh Nath,jeremiahjha@gmail.in,3933529042,"102, Parmar Nagar, Giridih-024026",62,200000
CUST0011,"Comar, Bhatt and Soni",Janaki Varghese,sethyahvi@gmail.in,0847007661,"H.No. 159, Bhatti Street, Panipat-698478",39,200000
CUST0012,"Sani, Chaudhary and Contractor",Qushi Seth,odikanori@yahoo.in,06156545271,"H.No. 615, Bhasin Street, Bhilai 560494",52,200000
CUST0013,Chawla-Tripathi,Mohammed Subramaniam,hritikpalla@hotmail.in,01493689980,"445, Ahuja Path, Asansol 120183",31,200000
CUST0014,Saini-Setty,Nakul Pingle,ekta99@gmail.in,+912290147679,"H.No. 38, Pai Zila, Bhubaneswar-978403",60,200000
CUST0015,Bhakta-Amble,Charvi Kakar,aadhyamann@yahoo.in,+910762268388,"06, Sharaf Nagar, Satara 966416",36,200000
CUST0016,Nair and Sons,Janaki Chakrabarti,pcherian@yahoo.in,6816453521,"H.No. 52, Chauhan Ganj, Bardhaman 292127",48,200000
CUST0017,Sen-Naidu,Matthew Sarraf,singhriya@hotmail.in,04905814770,"H.No. 11, Tripathi, Surendranagar Dudhrej 793597",56,200000
CUST0018,"Dora, Bhatia and Seshadri",Hemal Chad,balveerkota@hotmail.in,07889255466,"51/518, Mander Marg, Madanapalle 519254",88,200000
CUST0019,"Ramanathan, Dayal and Chad",Krisha Narasimhan,giriksampath@hotmail.in,00542357332,"H.No. 18, Vyas Circle, Naihati-962229",35,200000
CUST0020,Sarma Inc,Janya Khanna,wmane@hotmail.in,03834735977,"86/23, Devi, Faridabad 581814",37,200000
CUST0021,Dyal LLC,Yochana Din,ochand@yahoo.in,00606853615,"H.No. 15, Devan Street, Baranagar-277901",83,200000
CUST0022,Kunda and Sons,Pallavi Choudhry,wazir41@gmail.in,+916971179808,"H.No. 60, Pandit, Aurangabad-218518",90,200000
CUST0023,"Tripathi, Tripathi and Bahri",Upma Bassi,qprakash@hotmail.in,+915153195205,"77/221, Bansal Chowk, Panihati 305486",76,200000
CUST0024,"Solanki, Kulkarni and Bansal",Bhavika Parikh,narulaanjali@gmail.in,06676527758,"61/692, Memon Circle, Kota 544796",39,200000
CUST0025,Sawhney LLC,Brijesh Pandit,omaharaj@gmail.in,+916582029702,"55/690, Dube, Uluberia 719285",52,200000
CUST0026,Dipta Mallick,Ishaan Bal,xalakvasa@yahoo.in,1447394731,"27, Nagarajan Zila, Amritsar-422583",19,50000
CUST0027,Sai Dewan,Wakeeta Bal,jyoti78@gmail.in,1146786691,"17/785, Gopal Street, Bhiwani-182422",21,50000
CUST0028,Umang Pal,Farhan Krishna,anvidass@hotmail.in,09818299229,"H.No. 109, Kade Road, Tadipatri 784473",29,50000
CUST0029,Chameli Setty,Darpan Dugar,esagar@yahoo.in,+915925556258,"714, Kota Chowk, Jalandhar 469632",13,50000
CUST0030,Dhriti Gupta,Wishi Varma,ttara@yahoo.in,+911687339500,"74/80, Sankar Zila, Bilaspur 650609",33,50000
CUST0031,Janani Mani,Libni Thaman,nmammen@hotmail.in,1216558523,"H.No. 025, Venkataraman Chowk, Jalgaon-595269",30,50000
CUST0032,Gayathri Tripathi,Chandani Soman,pillaygarima@hotmail.in,+916940974993,"896, Kibe Street, Chapra 307562",22,50000
CUST0033,Samar Roy,David Devi,ektasridhar@hotmail.in,05278585497,"H.No. 84, Mishra Ganj, Dhule-575844",30,50000
CUST0034,Ladli Rana,Madhav Mannan,manifarhan@yahoo.in,04733848421,"H.No. 833, Chaudhry Nagar, Bathinda-120826",6,50000
CUST0035,Vansha Iyengar,Ekani Mangal,chakrabortyvincent@hotmail.in,0262067240,"91/54, Viswanathan Chowk, Guntur 431527",28,50000
CUST0036,Quincy Atwal,Chakrika Hans,nidrasane@hotmail.in,01612275304,"45, Apte Road, Karimnagar-017426",44,50000
CUST0037,Jacob Merchant,Timothy Kanda,vanyadua@yahoo.in,9568783391,"H.No. 910, Tiwari Circle, Chapra-258713",28,50000
CUST0038,Gavin Uppal,Christopher Setty,yochanasagar@yahoo.in,0874064039,"51, Bhasin Circle, Chittoor 462265",20,50000
CUST0039,Saumya Purohit,Faris Zacharia,ijayadani@gmail.in,6823004786,"752, Gulati Road, Patna-903311",4,50000
CUST0040,Sanya Bava,Chaitanya Ratti,ikaur@gmail.in,+912843959953,"83/644, Gill Nagar, Miryalaguda 056856",19,50000
CUST0041,Manthan Mital,Qarin Yogi,okhosla@yahoo.in,2708668826,"517, Chanda Path, Faridabad-699013",2,50000
CUST0042,Varenya Joshi,Chavvi Aurora,ranveerdalal@hotmail.in,03936385467,"H.No. 58, Shukla Chowk, Nandyal 355609",45,50000
CUST0043,Madhav Babu,Omisha Merchant,rohannarayan@gmail.in,09378547772,"872, Bhargava Circle, Aurangabad 062312",7,50000
CUST0044,Tejas Tiwari,Kashvi Bhasin,bsura@gmail.in,8600848408,"H.No. 182, Handa Ganj, Raichur-615679",1,50000
CUST0045,Upkaar Mital,Azad Chander,yraghavan@hotmail.in,00021765918,"974, Borde Nagar, Tinsukia 250392",21,50000
CUST0046,Faraj Mistry,Wridesh Ramachandran,leena21@hotmail.in,5016315999,"H.No. 477, Parekh Ganj, Bhiwani-961943",41,50000
CUST0047,Fitan Loyal,Lajita Dube,xnadig@gmail.in,+910475412126,"H.No. 015, Chander Circle, Kharagpur-466183",6,50000
CUST0048,Lajita Gara,Amruta Mitra,waida21@gmail.in,04647154379,"H.No. 240, Natarajan Marg, Ozhukarai-569245",43,50000
CUST0049,Varenya Murthy,Mitali Nagar,vritti93@yahoo.in,04651939828,"37/416, Dewan Chowk, New Delhi 266179",10,50000
CUST0050,Nandini Warrior,Balhaar Parsa,choprayuvraj@hotmail.in,5290965610,"888, Kant, Dindigul 798250",15,50000
CUST0051,Henry Merchant,Frederick D’Alia,ijayamuni@yahoo.in,03875717751,"10/512, Varty Ganj, Suryapet 586736",33,50000
CUST0052,Quincy Sankaran,Ayush Hora,ysanghvi@gmail.in,3341918255,"H.No. 478, Rama Path, Dharmavaram-557924",11,50000
CUST0053,Krish Munshi,William Mody,goswamikashvi@hotmail.in,+918669296627,"42, Murty Street, Udupi-507236",35,50000
CUST0054,Nilima Swamy,Sachi Suresh,fitanbalasubramanian@gmail.in,00438427978,"H.No. 85, Barman Circle, Bongaigaon 613407",10,50000
CUST0055,Ijaya Chahal,Jacob Khalsa,indalisangha@gmail.in,2330958498,"44/948, Deshmukh Zila, Allahabad-223253",21,50000
CUST0056,Vrishti Dhar,Oeshi Prashad,oborra@gmail.in,08457759017,"63/63, Loyal Chowk, Anantapuram 892975",35,50000
CUST0057,Chakradhar Chaudhary,Amol Dash,ridhishan@gmail.in,03242415415,"43, Chand Marg, Mumbai-712938",27,50000
CUST0058,Aditya Anand,Jai Sami,vanyabobal@gmail.in,01115542622,"27/53, Sabharwal Street, Bellary 121965",29,50000
CUST0059,Divya Dey,Aradhana Chad,bhavanibala@hotmail.in,03898364037,"791, Arora Circle, Ratlam-696582",14,50000
CUST0060,Elijah Badal,Akshay Lala,balveerbhasin@yahoo.in,4866618892,"H.No. 18, Dugal Ganj, Katni 463031",25,50000
