SupplierID,SupplierName,ContactPerson,ContactEmail,Phone,PrimaryCategory,ReliabilityScore
SUP001,"Choudhury, Bakshi and Maharaj",Udant Dewan,chahalpahal@gmail.in,+911338908386,Packaged Foods,3
SUP002,Sen PLC,Abeer Dutta,roak@gmail.in,+915116155940,Men's Apparel,6
SUP003,"Sharaf, Yadav and Dash",Farhan Memon,rehaan10@hotmail.in,+914131647525,Small Electronics,5
SUP004,Kadakia-Loke,Onveer Walla,nihalshere@yahoo.in,08350305641,Packaged Foods,4
SUP005,Murty and Sons,Meghana Shanker,alkadewan@gmail.in,8849696532,Cookware & Pots,3
SUP006,"Tak, Chand and Batta",Michael Dutta,ybhatt@yahoo.in,7848018451,Fresh Groceries,4
SUP007,Saran-Dugar,Aarush Lall,yashicacherian@hotmail.in,08932528809,Small Electronics,6
SUP008,Suresh-Bahl,Janani Mohanty,dalbirkhosla@hotmail.in,+911718227824,Fresh Groceries,6
SUP009,"Sampath, Kakar and Zacharia",Devika Rastogi,raksha87@gmail.in,+913150983930,Cookware & Pots,6
SUP010,Bhargava and Sons,Azad Narayanan,varkeywazir@yahoo.in,7382997376,Kitchen Gadgets,7
SUP011,Chandra Inc,Irya Sampath,usibal@gmail.in,1065133387,Fresh Groceries,5
SUP012,Sami and Sons,Turvi Krish,savantguneet@gmail.in,8013267736,Cookware & Pots,8
SUP013,Gala Group,Madhavi Lanka,bmangal@hotmail.in,8723430980,Men's Apparel,5
SUP014,"Murthy, Bhandari and Bedi",Yadavi Wali,daksheshtrivedi@gmail.in,+911913619399,Small Electronics,8
SUP015,Bumb Group,Advika Jayaraman,william46@gmail.in,4751079911,Packaged Foods,4
SUP016,"Kala, Toor and Lanka",Ikshita Biswas,kalamane@gmail.in,08498084124,Cookware & Pots,4
SUP017,Chhabra Ltd,Anita Manda,hemaljani@hotmail.in,4874016400,Women's Apparel,8
SUP018,De-Lala,Riya Sane,choudhuryfaqid@hotmail.in,+918059826204,Men's Apparel,3
SUP019,Baral-Parmar,Zaid Chauhan,niharika92@gmail.in,+912602563421,Kitchen Gadgets,4
SUP020,Barad-Singhal,Ryan Sharma,dalaja33@gmail.in,3654145868,Cookware & Pots,4
SUP021,Bala-D’Alia,Pranav Lanka,chopraradha@yahoo.in,5698169340,Men's Apparel,8
SUP022,"Sarin, Agarwal and Venkatesh",Januja Sankar,narayanandipta@hotmail.in,+914846564823,Small Electronics,4
SUP023,Raghavan-Ghosh,Nidra Acharya,bhavini36@hotmail.in,5777387214,Fresh Groceries,6
SUP024,"Nayak, Chander and Keer",Umang Issac,aryanbatra@gmail.in,09176936763,Men's Apparel,4
SUP025,Ahluwalia Inc,Theodore Goda,jbedi@gmail.in,+917278895798,Small Electronics,4
SUP026,Sehgal-Dutt,Shivani Lad,aradhanaverma@yahoo.in,3471434558,Cookware & Pots,7
SUP027,Devi and Sons,Leela Dua,devanshsachdeva@yahoo.in,08760366909,Kitchen Gadgets,8
SUP028,Sood-Ahuja,Chanchal Ramakrishnan,vyohannan@hotmail.in,9373467065,Large Appliances,8
SUP029,"Ravel, Gandhi and Sibal",Avi Ramesh,chackopriya@gmail.in,02046537556,Women's Apparel,6
SUP030,Sama-Krishnan,Upma Bahl,pallaudarsh@hotmail.in,+910033092327,Men's Apparel,4
SUP031,"Contractor, Kamdar and Shroff",Jyoti Ganesh,gadedeepa@gmail.in,0496631931,Large Appliances,6
SUP032,"Mitra, Dara and Barman",Priya Prabhakar,toorharita@gmail.in,07165726284,Large Appliances,10
SUP033,"Yohannan, Sule and Shroff",Amrita Naidu,gabrielmallick@yahoo.in,+917996507527,Cookware & Pots,7
SUP034,Pant LLC,Ati Majumdar,varugheserayaan@gmail.in,+916783777014,Small Electronics,8
SUP035,Ravel Ltd,Damini Pillay,wwali@yahoo.in,8557444313,Fresh Groceries,6
SUP036,Dar-Wason,Rehaan Kalita,umalhotra@hotmail.in,9413435240,Fresh Groceries,8
SUP037,"Walla, Date and Mahal",Chatura Master,vrittichauhan@gmail.in,4777520471,Cookware & Pots,7
SUP038,Rattan Group,Chatresh Doshi,dakshachada@gmail.in,+918699938677,Packaged Foods,6
SUP039,Sanghvi-Mody,Hardik Johal,aishanibumb@gmail.in,+912812067974,Women's Apparel,6
SUP040,Kata LLC,Sudiksha Bobal,aishanihora@yahoo.in,+918324210249,Kitchen Gadgets,9
